count,Menu-Category,Translation
188,Chapsui,chapsui
189,Chapsui,chapsui
190,Chapsui,chapsui
191,Cerdos,pigs
192,Vegetarianos,Vegetarians
193,Tallarines,noodles
194,Pescados,Fish
195,Pescados,Fish
196,Pescados,Fish
197,Pescados,Fish
198,Pescados,Fish
199,Pescados,Fish
200,Pescados,Fish
201,Pescados,Fish
202,Postres,desserts
203,Aperitivos,snacks
204,Cerdos,pigs
205,Vegetarianos,Vegetarians
206,Sopas,soups
207,Postres,desserts
208,Sopas,soups
209,Postres,desserts
210,Postres,desserts
211,Aperitivos,snacks
212,Sopas,soups
213,Postres,desserts
214,Postres,desserts
215,Menús,menus
216,Menús,menus
217,Menús,menus
218,Menús,menus
219,Menús,menus
220,Menús,menus
221,Menús,menus
222,Postres,desserts
223,Pescados,Fish
224,Pato,duck
225,Pato,duck
226,Pato,duck
227,Pato,duck
228,Pato,duck
229,Pato,duck
230,Pollo,chicken
231,Pollo,chicken
232,Pollo,chicken
233,Pollo,chicken
234,Pollo,chicken
235,Pollo,chicken
236,Pollo,chicken
237,Aperitivos,snacks
238,Pollo,chicken
239,Pollo,chicken
240,Pollo,chicken
241,Pollo,chicken
242,Pollo,chicken
243,Pollo,chicken
244,Sopas,soups
245,Chapsui,chapsui
246,Pescados,Fish
247,Tallarines,noodles
248,Pato,duck
249,Postres,desserts
250,Vegetarianos,Vegetarians
251,Sopas,soups
252,Aperitivos,snacks
253,Vegetarianos,Vegetarians
254,Sopas,soups
255,Bebidas,beverages
256,Bebidas,beverages
257,Bebidas,beverages
258,Bebidas,beverages
259,Bebidas,beverages
260,Bebidas,beverages
261,Pastas,folders
262,Pastas,folders
263,Dulces,confectionery
264,Pastas,folders
265,Dulces,confectionery
266,Pastas,folders
267,Dulces,confectionery
268,Pastas,folders
269,Pizzas,pizzas
270,Pizzas,pizzas
271,Pizzas,pizzas
272,Pizzas,pizzas
273,Pizzas,pizzas
274,Pizzas,pizzas
275,Pizzas,pizzas
276,Pizzas,pizzas
277,Dulces,confectionery
278,Dulces,confectionery
279,Bebidas,beverages
280,Pizzas,pizzas
281,Promociones,promotions
282,Promociones,promotions
283,Promociones,promotions
284,Promociones,promotions
285,Sándwiches,sandwiches
286,Wraps,Wraps
287,Arma tu roll,Build your roll
288,No quiero roll,Do not want to roll
289,No quiero roll,Do not want to roll
290,No quiero roll,Do not want to roll
291,No quiero roll,Do not want to roll
292,No quiero roll,Do not want to roll
293,No quiero roll,Do not want to roll
294,No quiero roll,Do not want to roll
295,No quiero roll,Do not want to roll
296,Degustaciones sugeridas por el chef,tastings suggested by the chef
297,Arma tu roll,Build your roll
298,Degustaciones sugeridas por el chef,tastings suggested by the chef
299,Arma tu roll,Build your roll
300,Degustaciones sugeridas por el chef,tastings suggested by the chef
301,Arma tu roll,Build your roll
302,Arma tu roll,Build your roll
303,Degustaciones sugeridas por el chef,tastings suggested by the chef
304,Arma tu roll,Build your roll
305,Arma tu roll,Build your roll
306,Arma tu roll,Build your roll
307,No quiero roll,Do not want to roll
308,Bebidas,beverages
309,Bebidas,beverages
310,Bebidas,beverages
311,Arma tu roll,Build your roll
312,Spuntinos,Spuntinos
313,Spuntinos,Spuntinos
314,Spuntinos,Spuntinos
315,Spuntinos,Spuntinos
316,Helados artesanales,ice creams
317,Pizzas,pizzas
318,Arma tu pizza,Build your pizza
319,Pizzas,pizzas
320,Pizzas,pizzas
321,Pizzas,pizzas
322,Pizzas,pizzas
323,Pizzas,pizzas
324,Pizzas,pizzas
325,Pizzas,pizzas
326,Pizzas,pizzas
327,Pizzas,pizzas
328,Pizzas,pizzas
329,Pizzas,pizzas
330,Pizzas,pizzas
331,Pizzas,pizzas
332,Pizzas,pizzas
333,Pizzas,pizzas
334,Pizzas,pizzas
335,Promociones,promotions
336,Promociones,promotions
337,Promociones,promotions
338,Promociones,promotions
339,Promociones,promotions
340,Promociones,promotions
341,Promociones,promotions
342,Bebidas,beverages
343,Spuntinos,Spuntinos
344,Spuntinos,Spuntinos
345,Spuntinos,Spuntinos
346,Spuntinos,Spuntinos
347,Helados artesanales,ice creams
348,Pizzas,pizzas
349,Arma tu pizza,Build your pizza
350,Pizzas,pizzas
351,Pizzas,pizzas
352,Pizzas,pizzas
353,Pizzas,pizzas
354,Pizzas,pizzas
355,Pizzas,pizzas
356,Pizzas,pizzas
357,Pizzas,pizzas
358,Pizzas,pizzas
359,Pizzas,pizzas
360,Pizzas,pizzas
361,Pizzas,pizzas
362,Pizzas,pizzas
363,Pizzas,pizzas
364,Pizzas,pizzas
365,Pizzas,pizzas
366,Bebidas,beverages
367,Special Rolls,special rolls
368,Special Rolls,special rolls
369,Hosomaki,hosomaki
370,Special Rolls,special rolls
371,Rolls Calientes,Rolls Calientes
372,California Rolls,California Rolls
373,California Rolls,California Rolls
374,California Rolls,California Rolls
375,California Rolls,California Rolls
376,California Rolls,California Rolls
377,California Rolls,California Rolls
378,California Rolls,California Rolls
379,Special Rolls,special rolls
380,Special Rolls,special rolls
381,Entradas,Tickets
382,Special Rolls,special rolls
383,Rolls Calientes,Rolls Calientes
384,Special Rolls,special rolls
385,Special Rolls,special rolls
386,Rolls Calientes,Rolls Calientes
387,Rolls Calientes,Rolls Calientes
388,Special Rolls,special rolls
389,Special Rolls,special rolls
390,Hosomaki,hosomaki
391,Special Rolls,special rolls
392,Para Empezar,to begin with
393,Special Rolls,special rolls
394,Arroz Caliente,hot rice
395,Ensaladas,Salads
396,Ensaladas,Salads
397,Ensaladas,Salads
398,Rolls Calientes,Rolls Calientes
399,Para Empezar,to begin with
400,Para Empezar,to begin with
401,Para Empezar,to begin with
402,Para Empezar,to begin with
403,Hosomaki,hosomaki
404,Special Rolls,special rolls
405,Special Rolls,special rolls
406,Special Rolls,special rolls
407,Menú Hora del Almuerzo,lunch menu
408,Menú Hora del Almuerzo,lunch menu
409,Menú Hora del Almuerzo,lunch menu
410,Menú Hora del Almuerzo,lunch menu
411,Menú Niños,Children menu
412,Menú Niños,Children menu
413,Sopas,soups
414,Nigiri,nigiri
415,Nigiri,nigiri
416,Nigiri,nigiri
417,Nigiri,nigiri
418,Nigiri,nigiri
419,Rolls Calientes,Rolls Calientes
420,Special Rolls,special rolls
421,Special Rolls,special rolls
422,Special Rolls,special rolls
423,Platos Calientes,hot dishes
424,Para Empezar,to begin with
425,Special Rolls,special rolls
426,Sopas,soups
427,Rolls Calientes,Rolls Calientes
428,Entradas,Tickets
429,Rolls Calientes,Rolls Calientes
430,Hosomaki,hosomaki
431,Special Rolls,special rolls
432,Special Rolls,special rolls
433,Special Rolls,special rolls
434,Sashimi,sashimi
435,Sashimi,sashimi
436,Sashimi,sashimi
437,Sashimi,sashimi
438,Sashimi,sashimi
439,Shirashi Sushi,Shirashi sushi
440,Shirashi Sushi,Shirashi sushi
441,Shirashi Sushi,Shirashi sushi
442,Shirashi Sushi,Shirashi sushi
443,Shirashi Sushi,Shirashi sushi
444,Shirashi Sushi,Shirashi sushi
445,Special Rolls,special rolls
446,Hosomaki,hosomaki
447,Special Rolls,special rolls
448,Rolls Calientes,Rolls Calientes
449,Hosomaki,hosomaki
450,Temaki,temaki
451,Temaki,temaki
452,Temaki,temaki
453,Temaki,temaki
454,Temaki,temaki
455,Rolls Calientes,Rolls Calientes
456,Special Rolls,special rolls
457,Entradas,Tickets
458,Entradas,Tickets
459,Entradas,Tickets
460,Special Rolls,special rolls
461,Hosomaki,hosomaki
462,Rolls Calientes,Rolls Calientes
463,Arroz Caliente,hot rice
464,Hosomaki,hosomaki
465,Special Rolls,special rolls
466,Special Rolls,special rolls
467,Rolls Calientes,Rolls Calientes
468,Rolls Calientes,Rolls Calientes
469,Arroz Caliente,hot rice
470,Platos Calientes,hot dishes
471,Special Rolls,special rolls
472,Arma tu roll,Build your roll
473,Bebidas,beverages
474,Bebidas,beverages
475,Bebidas,beverages
476,Piqueos,piqueos
477,Piqueos,piqueos
478,Piqueos,piqueos
479,Hosomaki,hosomaki
480,Temaki,temaki
481,Hosomaki,hosomaki
482,Temaki,temaki
483,Hosomaki,hosomaki
484,Hosomaki,hosomaki
485,Piqueos,piqueos
486,Promociones,promotions
487,Promociones,promotions
488,Promociones,promotions
489,Piqueos,piqueos
490,Sushi del Chef,Sushi Chef
491,Sushi del Chef,Sushi Chef
492,Appetizer,appetizer
493,Rolls Frios,cold rolls
494,Rolls Frios,cold rolls
495,Appetizer,appetizer
496,Appetizer,appetizer
497,Bebidas,beverages
498,Appetizer,appetizer
499,Combos,combos
500,Combos,combos
501,Combos,combos
502,Combos,combos
503,Combos,combos
504,Combos,combos
505,Combos,combos
506,Combos,combos
507,Combos,combos
508,Combos,combos
509,Bebidas,beverages
510,Appetizer,appetizer
511,Appetizer,appetizer
512,Appetizer,appetizer
513,Rolls Calientes,Rolls Calientes
514,Rolls Calientes,Rolls Calientes
515,Rolls Calientes,Rolls Calientes
516,Bebidas,beverages
517,Rolls Frios,cold rolls
518,Sushi del Chef,Sushi Chef
519,Rolls Frios,cold rolls
520,Rolls Frios,cold rolls
521,Bebidas,beverages
522,Bebidas,beverages
523,Bebidas,beverages
524,Sushi del Chef,Sushi Chef
525,Rolls Frios,cold rolls
526,Sushi del Chef,Sushi Chef
527,Appetizer,appetizer
528,Rolls Frios,cold rolls
529,Appetizer,appetizer
530,Rolls Calientes,Rolls Calientes
531,Rolls Calientes,Rolls Calientes
532,Rolls Calientes,Rolls Calientes
533,Sushi del Chef,Sushi Chef
534,Rolls Frios,cold rolls
535,Sashimis,sashimis
536,Special rolls,special rolls
537,Hosomaki,hosomaki
538,Niguiris,niguiris
539,Special rolls,special rolls
540,Special rolls,special rolls
541,California rolls,California rolls
542,California rolls,California rolls
543,California rolls,California rolls
544,California rolls,California rolls
545,California rolls,California rolls
546,California rolls,California rolls
547,California rolls,California rolls
548,California rolls,California rolls
549,California rolls,California rolls
550,California rolls,California rolls
551,California rolls,California rolls
552,California rolls,California rolls
553,California rolls,California rolls
554,California rolls,California rolls
555,Special rolls,special rolls
556,Niguiris,niguiris
557,Niguiris,niguiris
558,Hosomaki,hosomaki
559,Special rolls,special rolls
560,Hosomaki,hosomaki
561,Special rolls,special rolls
562,Special rolls,special rolls
563,Hosomaki,hosomaki
564,Niguiris,niguiris
565,Niguiris,niguiris
566,Sashimis,sashimis
567,Hosomaki,hosomaki
568,Special rolls,special rolls
569,Special rolls,special rolls
570,Hosomaki,hosomaki
571,Niguiris,niguiris
572,Sashimis,sashimis
573,Hosomaki,hosomaki
574,Special rolls,special rolls
575,Niguiris,niguiris
576,Sashimis,sashimis
577,Special rolls,special rolls
578,Special rolls,special rolls
579,Niguiris,niguiris
580,Special rolls,special rolls
581,White rolls,white rolls
582,White rolls,white rolls
583,White rolls,white rolls
584,White rolls,white rolls
585,Sugerencias,suggestions
586,Sugerencias,suggestions
587,Hosomaki,hosomaki
588,Sugerencias,suggestions
589,Sugerencias,suggestions
590,Especial Rolls,Special rolls
591,Especial Rolls,Special rolls
592,Especial Rolls,Special rolls
593,Para Continuar,to continue
594,Rolls California,california rolls
595,Rolls,rolls
596,Promo Sábado,Promo Saturday
597,Rolls California,california rolls
598,Rolls California,california rolls
599,Promo Sábado,Promo Saturday
600,Rolls Tempura,Tempura Rolls
601,Rolls,rolls
602,Rolls California,california rolls
603,Rolls,rolls
604,Rolls,rolls
605,Rolls California,california rolls
606,Rolls,rolls
607,Rolls Nikkei,nikkei rolls
608,Rolls California,california rolls
609,Rolls,rolls
610,Rolls California,california rolls
611,Rolls,rolls
612,Rolls,rolls
613,Rolls California,california rolls
614,Rolls,rolls
615,Promo Sábado,Promo Saturday
616,Rolls Tempura,Tempura Rolls
617,Rolls California,california rolls
618,Rolls,rolls
619,Rolls California,california rolls
620,Rolls,rolls
621,Rolls California,california rolls
622,Agregados,aggregates
623,Ceviche,ceviche
624,Agregados,aggregates
625,Rolls Nikkei,nikkei rolls
626,Ceviche,ceviche
627,Rolls Nikkei,nikkei rolls
628,Ceviche,ceviche
629,Rolls Nikkei,nikkei rolls
630,Especial Rolls,Special rolls
631,Chirashis,chirashis
632,Para Disfrutar,to enjoy
633,Rolls Nikkei,nikkei rolls
634,Hosomaki,hosomaki
635,Especial Rolls,Special rolls
636,Hosomaki,hosomaki
637,Especial Rolls,Special rolls
638,Especial Rolls,Special rolls
639,Promo Sábado,Promo Saturday
640,Para Acompañar,to accompany
641,Rolls Nikkei,nikkei rolls
642,Para Empezar,to begin with
643,Para Empezar,to begin with
644,Para Empezar,to begin with
645,Para Empezar,to begin with
646,Para Empezar,to begin with
647,Para Empezar,to begin with
648,Rolls Nikkei,nikkei rolls
649,Para Continuar,to continue
650,Extras,extras
651,Agregados,aggregates
652,Especial Rolls,Special rolls
653,Especial Rolls,Special rolls
654,Especial Rolls,Special rolls
655,Agregados,aggregates
656,Para Acompañar,to accompany
657,Promo Sábado,Promo Saturday
658,Rolls Tempura,Tempura Rolls
659,Para Disfrutar,to enjoy
660,Especial Rolls,Special rolls
661,Hosomaki,hosomaki
662,Nigiri,nigiri
663,Nigiri,nigiri
664,Nigiri,nigiri
665,Nigiri,nigiri
666,Nigiri,nigiri
667,Nigiri,nigiri
668,Especial Rolls,Special rolls
669,Promo Sábado,Promo Saturday
670,Rolls Tempura,Tempura Rolls
671,Extras,extras
672,Agregados,aggregates
673,Para Disfrutar,to enjoy
674,Agregados,aggregates
675,Especial Rolls,Special rolls
676,Especial Rolls,Special rolls
677,Ceviche,ceviche
678,Especial Rolls,Special rolls
679,Hosomaki,hosomaki
680,Especial Rolls,Special rolls
681,Agregados,aggregates
682,Extras,extras
683,Extras,extras
684,Extras,extras
685,Extras,extras
686,Sashimi,sashimi
687,Sashimi,sashimi
688,Sashimi,sashimi
689,Especial Rolls,Special rolls
690,Rolls Nikkei,nikkei rolls
691,Extras,extras
692,Hosomaki,hosomaki
693,Especial Rolls,Special rolls
694,Hosomaki,hosomaki
695,Especial Rolls,Special rolls
696,Hosomaki,hosomaki
697,Para Empezar,to begin with
698,Para Empezar,to begin with
699,Para Empezar,to begin with
700,Hosomaki,hosomaki
701,Para Empezar,to begin with
702,Especial Rolls,Special rolls
703,Rolls Nikkei,nikkei rolls
704,Para Continuar,to continue
705,Para Continuar,to continue
706,Para Continuar,to continue
707,Rolls Nikkei,nikkei rolls
708,Para Continuar,to continue
709,Especial Rolls,Special rolls
710,Promo Sábado,Promo Saturday
711,Rolls Tempura,Tempura Rolls
712,Promo Sábado,Promo Saturday
713,Para Disfrutar,to enjoy
714,Especial Rolls,Special rolls
715,Rolls Nikkei,nikkei rolls
716,Extras,extras
717,Para Acompañar,to accompany
718,Para Continuar,to continue
719,Para Continuar,to continue
720,Para Empezar,to begin with
721,Sugerencias,suggestions
722,Sugerencias,suggestions
723,Hosomaki,hosomaki
724,Sugerencias,suggestions
725,Sugerencias,suggestions
726,Especial Rolls,Special rolls
727,Especial Rolls,Special rolls
728,Especial Rolls,Special rolls
729,Para empezar,to begin with
730,Rolls,rolls
731,Rolls Tempura,Tempura Rolls
732,Rolls,rolls
733,Rolls,rolls
734,Rolls Tempura,Tempura Rolls
735,Rolls,rolls
736,Rolls,rolls
737,Rolls,rolls
738,Rolls,rolls
739,Rolls,rolls
740,Rolls,rolls
741,Rolls,rolls
742,Rolls Tempura,Tempura Rolls
743,Rolls,rolls
744,Rolls,rolls
745,Rolls Nikkei,nikkei rolls
746,Rolls Nikkei,nikkei rolls
747,Rolls Nikkei,nikkei rolls
748,Especial Rolls,Special rolls
749,Chirashis,chirashis
750,Para disfrutar,to enjoy
751,Rolls Nikkei,nikkei rolls
752,Hosomaki,hosomaki
753,Especial Rolls,Special rolls
754,Hosomaki,hosomaki
755,Especial Rolls,Special rolls
756,Para continuar,to continue
757,Especial Rolls,Special rolls
758,Rolls Tempura,Tempura Rolls
759,Para acompañar,to accompany
760,Para empezar,to begin with
761,Para empezar,to begin with
762,Extras,extras
763,Especial Rolls,Special rolls
764,Especial Rolls,Special rolls
765,Para continuar,to continue
766,Especial Rolls,Special rolls
767,Para acompañar,to accompany
768,Rolls Tempura,Tempura Rolls
769,Para disfrutar,to enjoy
770,Especial Rolls,Special rolls
771,Rolls Nikkei,nikkei rolls
772,Hosomaki,hosomaki
773,Para beber,to drink
774,Para empezar,to begin with
775,Especial Rolls,Special rolls
776,Rolls Tempura,Tempura Rolls
777,Extras,extras
778,Para disfrutar,to enjoy
779,Para empezar,to begin with
780,Para empezar,to begin with
781,Especial Rolls,Special rolls
782,Agregados,aggregates
783,Especial Rolls,Special rolls
784,Especial Rolls,Special rolls
785,Rolls Nikkei,nikkei rolls
786,Hosomaki,hosomaki
787,Especial Rolls,Special rolls
788,Extras,extras
789,Sashimi,sashimi
790,Sashimi,sashimi
791,Sashimi,sashimi
792,Sashimi,sashimi
793,Especial Rolls,Special rolls
794,Rolls Nikkei,nikkei rolls
795,Hosomaki,hosomaki
796,Especial Rolls,Special rolls
797,Hosomaki,hosomaki
798,Especial Rolls,Special rolls
799,Hosomaki,hosomaki
800,Para empezar,to begin with
801,Para empezar,to begin with
802,Para empezar,to begin with
803,Hosomaki,hosomaki
804,Para empezar,to begin with
805,Especial Rolls,Special rolls
806,Rolls Nikkei,nikkei rolls
807,Para continuar,to continue
808,Para continuar,to continue
809,Para continuar,to continue
810,Rolls Nikkei,nikkei rolls
811,Para continuar,to continue
812,Rolls Tempura,Tempura Rolls
813,Especial Rolls,Special rolls
814,Rolls Tempura,Tempura Rolls
815,Para disfrutar,to enjoy
816,Especial Rolls,Special rolls
817,Rolls Nikkei,nikkei rolls
818,Extras,extras
819,Para acompañar,to accompany
820,Para acompañar,to accompany
821,Para continuar,to continue
822,Para continuar,to continue
823,Para empezar,to begin with
824,Sugerencias,suggestions
825,Sugerencias,suggestions
826,Hosomaki,hosomaki
827,Sugerencias,suggestions
828,Sugerencias,suggestions
829,Especial Rolls,Special rolls
830,Especial Rolls,Special rolls
831,Especial Rolls,Special rolls
832,Para empezar,to begin with
833,Rolls,rolls
834,Rolls Tempura,Tempura Rolls
835,Rolls,rolls
836,Rolls,rolls
837,Rolls Tempura,Tempura Rolls
838,Rolls,rolls
839,Rolls,rolls
840,Rolls,rolls
841,Rolls,rolls
842,Rolls,rolls
843,Rolls,rolls
844,Rolls,rolls
845,Rolls Tempura,Tempura Rolls
846,Rolls,rolls
847,Rolls,rolls
848,Rolls Nikkei,nikkei rolls
849,Rolls Nikkei,nikkei rolls
850,Rolls Nikkei,nikkei rolls
851,Especial Rolls,Special rolls
852,Chirashis,chirashis
853,Para disfrutar,to enjoy
854,Rolls Nikkei,nikkei rolls
855,Hosomaki,hosomaki
856,Especial Rolls,Special rolls
857,Hosomaki,hosomaki
858,Especial Rolls,Special rolls
859,Para continuar,to continue
860,Especial Rolls,Special rolls
861,Rolls Tempura,Tempura Rolls
862,Para acompañar,to accompany
863,Para empezar,to begin with
864,Para empezar,to begin with
865,Extras,extras
866,Especial Rolls,Special rolls
867,Especial Rolls,Special rolls
868,Para continuar,to continue
869,Especial Rolls,Special rolls
870,Para acompañar,to accompany
871,Rolls Tempura,Tempura Rolls
872,Para disfrutar,to enjoy
873,Especial Rolls,Special rolls
874,Rolls Nikkei,nikkei rolls
875,Hosomaki,hosomaki
876,Para beber,to drink
877,Para empezar,to begin with
878,Especial Rolls,Special rolls
879,Rolls Tempura,Tempura Rolls
880,Extras,extras
881,Para disfrutar,to enjoy
882,Para empezar,to begin with
883,Para empezar,to begin with
884,Especial Rolls,Special rolls
885,Agregados,aggregates
886,Especial Rolls,Special rolls
887,Especial Rolls,Special rolls
888,Rolls Nikkei,nikkei rolls
889,Hosomaki,hosomaki
890,Especial Rolls,Special rolls
891,Extras,extras
892,Sashimi,sashimi
893,Sashimi,sashimi
894,Sashimi,sashimi
895,Sashimi,sashimi
896,Especial Rolls,Special rolls
897,Rolls Nikkei,nikkei rolls
898,Hosomaki,hosomaki
899,Especial Rolls,Special rolls
900,Hosomaki,hosomaki
901,Especial Rolls,Special rolls
902,Hosomaki,hosomaki
903,Para empezar,to begin with
904,Para empezar,to begin with
905,Para empezar,to begin with
906,Hosomaki,hosomaki
907,Para empezar,to begin with
908,Especial Rolls,Special rolls
909,Rolls Nikkei,nikkei rolls
910,Para continuar,to continue
911,Para continuar,to continue
912,Para continuar,to continue
913,Rolls Nikkei,nikkei rolls
914,Para continuar,to continue
915,Rolls Tempura,Tempura Rolls
916,Especial Rolls,Special rolls
917,Rolls Tempura,Tempura Rolls
918,Para disfrutar,to enjoy
919,Especial Rolls,Special rolls
920,Rolls Nikkei,nikkei rolls
921,Extras,extras
922,Para acompañar,to accompany
923,Para acompañar,to accompany
924,Para continuar,to continue
925,Para continuar,to continue
926,Para empezar,to begin with
927,Sugerencias,suggestions
928,Sugerencias,suggestions
929,Hosomaki,hosomaki
930,Sugerencias,suggestions
931,Sugerencias,suggestions
932,Especial Rolls,Special rolls
933,Especial Rolls,Special rolls
934,Especial Rolls,Special rolls
935,Los Más Pedidos,Most Orders
936,Para Continuar,to continue
937,Rolls California,california rolls
938,Rolls,rolls
939,Rolls Tempura,Tempura Rolls
940,Rolls California,california rolls
941,Rolls California,california rolls
942,Rolls Tempura,Tempura Rolls
943,Rolls,rolls
944,Rolls California,california rolls
945,Rolls,rolls
946,Rolls,rolls
947,Rolls California,california rolls
948,Rolls,rolls
949,Rolls Nikkei,nikkei rolls
950,Rolls California,california rolls
951,Rolls,rolls
952,Rolls California,california rolls
953,Rolls,rolls
954,Rolls,rolls
955,Rolls California,california rolls
956,Rolls,rolls
957,Rolls Tempura,Tempura Rolls
958,Rolls California,california rolls
959,Rolls,rolls
960,Rolls California,california rolls
961,Rolls,rolls
962,Rolls California,california rolls
963,Agregados,aggregates
964,Ceviche,ceviche
965,Agregados,aggregates
966,Rolls Nikkei,nikkei rolls
967,Ceviche,ceviche
968,Rolls Nikkei,nikkei rolls
969,Ceviche,ceviche
970,Rolls Nikkei,nikkei rolls
971,Especial Rolls,Special rolls
972,Chirashis,chirashis
973,Para Disfrutar,to enjoy
974,Rolls Nikkei,nikkei rolls
975,Hosomaki,hosomaki
976,Los Más Pedidos,Most Orders
977,Especial Rolls,Special rolls
978,Hosomaki,hosomaki
979,Especial Rolls,Special rolls
980,Especial Rolls,Special rolls
981,Rolls Tempura,Tempura Rolls
982,Para Acompañar,to accompany
983,Rolls Nikkei,nikkei rolls
984,Para Empezar,to begin with
985,Los Más Pedidos,Most Orders
986,Para Empezar,to begin with
987,Para Empezar,to begin with
988,Los Más Pedidos,Most Orders
989,Para Empezar,to begin with
990,Los Más Pedidos,Most Orders
991,Para Empezar,to begin with
992,Para Empezar,to begin with
993,Rolls Nikkei,nikkei rolls
994,Para Continuar,to continue
995,Extras,extras
