Count,Original_menu,Oriignal_prod,Menu_Cat_Tran,Prod_Tran,Variant,Masterdish,flag,Cuisine,cuisine_flag,Subcuisine,subcuisine_flag,Subcategory,subcategory_flag,Ingredient
32,Gaufres,Gaufre aux fruits,waffles,waffle with fruit,,waffle,1,american,0,american dish,0,,,fruit,cocoa powder,vanilla extract
33,Gaufres,Gaufre chocolat banane,waffles,banana chocolate waffle,,banana chocolate,1,american,0,american dish,0,dessert,1,chocolate,banana,applesauce
34,Gaufres,Gaufre chocolat chantilly,waffles,waffle whipped chocolate,,whipped chocolate,0,american,0,american dish,0,,,chocolate,,
35,Gaufres,Gaufre chocolat confiture,waffles,chocolate waffle jam,,chocolate waffle,0,american,0,american dish,0,,,chocolate,cocoa powder,vanilla extract
36,Boissons,Jus ,beverages,juice,,juice,0,non-alcoholic beverages,0,juice,0,cold beverages,1,apple,carrot,granny smith apple
37,Pizzas,La tuna,Pizzas,the tuna,,pizza tuna,0,italian,0,pizza,0,main course,1,tuna,basil,mozzarella cheese
38,Pizzas,Margharita,Pizzas,margharita,,margarita pizza,0,italian,0,pizza,0,main course,1,basil,flour tortillas,mozzarella cheese
39,Pizzas,Méxicaine,Pizzas,mexican,,pizza mexican,0,italian,0,pizza,0,main course,1,avocado,cheddar cheese,green onion
40,Pizzas,Napolitana,Pizzas,Napolitana,,neapolitan pizza,0,italian,0,pizza,0,main course,1,cornmeal,pizza dough,cherry
41,Entrées chaudes,Omelette au fromage,hot appetizers,cheese omelet,,omelet cheese,0,american,1,american dish,1,fast food,1,cheese,cottage cheese,broccoli
42,Entrées chaudes,Omelette au thon,hot appetizers,omelette with tuna,,omelette tuna,0,american,1,american dish,1,fast food,1,tuna,black pepper,
43,Entrées chaudes,Omelette aux champignons,hot appetizers,mushroom omelette,,omelette mushrooms,0,american,1,american dish,1,fast food,1,mushroom,black pepper,
44,Entrées chaudes,Omelette aux crevettes,hot appetizers,omelette with shrimp,,omelette shrimp,0,american,1,american dish,1,fast food,1,shrimp,cracked black pepper,goat cheese
45,Entrées chaudes,Omelette méxicaine,hot appetizers,mexican omelette,,mexican,1,Italian,0,other Italian dish,1,starter,1,chicken broth,cilantro,jalapeno
46,Entrées chaudes,Omelette nature,hot appetizers,Nature Omelette,,nature omelette,0,american,1,american dish,1,fast food,1,black pepper,,
47,Sandwichs,Panini poulet,sandwiches,chicken panini,,panini chicken,0,american,0,american dish,0,,,chicken,salad greens,mayonnaise
48,Sandwichs,Panini thon,sandwiches,Panini thon,,panini thon,0,american,0,american dish,0,,,challah,,
49,Sandwichs,Panini viande,sandwiches,panini meat,,panini,1,american,0,american dish,0,,,meat,challah,
50,Pâtes,Pâtes beurrées au fromage,pasta,pasta with butter and cheese,,cheese pasta,1,italian,0,pasta,0,main course,1,cheese,butter,pasta
51,Pâtes,Penne au pisto,pasta,penne with pisto,,penne,1,italian,0,pasta,0,main course,1,pasta,penne,plum tomato
52,Pâtes,Penne au roquefort,pasta,Penne with Roquefort,,penne,1,italian,0,pasta,0,main course,1,pasta,penne,plum tomato
53,Pâtes,Penne aux 3 fromages,pasta,penne 3 Cheese,3,cheese penne,0,italian,0,pasta,0,main course,1,cheese,pasta,penne
54,Pizzas,Regina,Pizzas,queen,,queen pizza,0,italian,0,pizza,0,main course,1,banana,lemon juice,pecan
55,Pizzas,Rustique,Pizzas,rustic,,pizza rustic,0,italian,0,pizza,0,main course,1,basil,mozzarella cheese,black pepper
56,Entrées froides,Salade César,cold starters,Caesar salad,,salad caesar,0,western,1,salad,,salad,1,black pepper,dijon mustard,romaine lettuce
57,Entrées froides,Salade César au blanc de poulet grillé,cold starters,Caesar salad with grilled chicken white, grilled chicken white,salad caesar,0,western,1,salad,,salad,1,chicken,black pepper,dijon mustard
58,Entrées froides,Salade César aux croûtons de pain et copeaux de fromage,cold starters,Caesar Salad with croutons and cheese shavings, croutons and cheese shavings,salad caesar,0,western,1,salad,,salad,1,cheese,black pepper,dijon mustard
59,Entrées froides,Salade César julienne de tomate,cold starters,caesar salad tomato julienne,,salad caesar,1,western,1,salad,,salad,1,tomato,black pepper,dijon mustard
60,Desserts,Salade de fruits,desserts,fruit salad,,fruit salad,0,Italian,0,salad,,salad,1,fruit,blueberry,peach
61,Sandwichs,Sandwich poulet,sandwiches,chicken sandwich,,chicken sandwich,0,american,0,american dish,0,fast food,1,chicken,olives,buns
62,Sandwichs,Sandwich thon,sandwiches,tuna sandwich,,tuna sandwich,0,american,0,american dish,0,fast food,1,tuna,capers,celery
63,Sandwichs,Sandwich viande,sandwiches,sandwich meat,,meat sandwich,0,american,0,american dish,0,fast food,1,meat,black pepper,cayenne
64,Entrées froides,Scampi sauté,cold starters,Scampi sautÃ©ed,,scampi sautÃ©ed,0,Italian,0,other Italian dish,1,starter,1,capers,white wine,parsley
65,Pâtes,Spaghetti bolognaise,pasta,Spaghetti Bolognese,,spaghetti bolognese,0,italian,0,pasta,0,main course,1,pasta,mushroom,basil
66,Plats,Steack haché,dishes,chopped steak,,chopped steak,0,american,0,steak dish,0,,,steak,ground beef,beef broth
67,Plats,Steak à cheval,dishes,Steak horse,,steak horse,0,american,0,steak dish,0,,,steak,shallot,bourbon
68,Plats,Suprême en sauce,dishes,Supreme sauce,,supreme,1,Italian,0,other Italian dish,1,,,ground beef,cheddar cheese,onions
69,Plats,Suprême grillé,dishes,Grilled Supreme,,supreme,1,Italian,0,grilled dish,0,,,ground beef,cheddar cheese,onions
70,Pâtes,Tagliatelle au poulet,pasta,Tagliatelle with Chicken,,tagliatelle chicken,0,italian,0,pasta,0,main course,1,chicken,pasta,black pepper
71,Pâtes,Tagliatelle aux 3 fromages,pasta,Tagliatelle 3 Cheese,3,tagliatelle cheese,1,italian,0,pasta,0,,,cheese,pasta,black pepper
72,Pâtes,Tagliatelle de saumon,pasta,salmon tagliatelle,,tagliatelle salmon,0,italian,0,pasta,0,main course,1,salmon,pasta,parmigiano-reggiano cheese
73,Boissons,Thé verveine,beverages,verbena tea,,verbena tea,0,non-alcoholic beverages,0,tea,0,hot beverages,1,,,
74,Entrées froides,Tomate Mozzarella,cold starters,Tomato Mozzarella,,mozzarella tomato,1,Italian,0,other Italian dish,1,starter,1,tomato,mozzarella cheese,black pepper
75,Pizzas,Végétarienne,Pizzas,Vegetarian,,pizza vegetarian,0,italian,0,pizza,0,main course,1,feta cheese,spinach,kalamata olive
76,Boissons,Vichy,beverages,gingham,,gingham,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
77,Desserts,Viennoiseries,desserts,pastries,,pastries,0,dessert,0,pastry,0,dessert,0,,,
78,Poissons,Assortiment de poissons,Fishes,Assorted fish,,assorted fish,0,,,,,,,fish,mussel,squid
79,Poissons,Calamar farci,Fishes,Calamar us,,calamar us,0,,,,,,,corn,rice,cornstarch
80,Brochettes et Chawarma,Chichkabab,Skewers and Chawarma,chichkabab,,chichkabab,0,,,,,,,,,
81,Brochettes et Chawarma,Chichtaouk,Skewers and Chawarma,chichtaouk,,chichtaouk,0,,,,,,,,,
82,Boissons,Coca-cola,beverages,coca cola,,cocacola,1,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
83,Desserts,Crêpe aux fruits Bab El Hara,desserts,pancake bab el hara fruit,,pancake fruit,1,american,0,american dish,0,,,fruit,berries,maple syrup
84,Desserts,Crêpe Nutella,desserts,Crepe Nutella,,nutella,1,dessert,0,colombian dessert,0,dessert,0,,,
85,Desserts,Crêpe Nutella banane,desserts,Crepe Nutella banana,,crepe nutella banana,0,dessert,0,colombian dessert,0,dessert,0,,,
86,Poissons,Crevettes en sauce,Fishes,shrimp sauce,,shrimp sauce,0,italian,0,seafood dish,0,,,shrimp,almond,bread crumbs
87,Poissons,Crevettes grillées,Fishes,grilled shrimp,,grilled shrimp,0,italian,0,seafood dish,0,main course,1,shrimp,cilantro,parsley
88,Boissons,Eau minérale,beverages,mineral water,,minerale water,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
89,Plats,Escalope à la crème,dishes,Escalope with cream,,escalope cream,1,,,,,,,cream,lemon juice,peach
90,Plats,Escalope farcie,dishes,Escalope stuffed,,escalope,1,,,,,,,capers,cherry tomato,parsley
91,Plats,Escalope grillée,dishes,grilled cutlet,,grilled cutlet,0,american,0,grilled dish,0,,,bread crumbs,pork chops,black pepper
92,Boissons,Fanta,beverages,fanta,,fanta,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
93,Entrées,Fattouch,entries,fattouch,,fattouche,0,,,,,,,parsley,onions,lettuce
94,Ramadan Bab El Hara,Formule Ramadan,Ramadan Bab El Hara,Formula Ramadan,,formula ramadan,0,,,,,,,rice,cinnamon,date
95,Desserts,Gâteau au chocolat,desserts,chocolate cake,,chocolate cake,0,dessert,0,cake,0,dessert,0,,,
96,Desserts,Gâteau au citron,desserts,lemon cake,,cake lemon,0,dessert,0,cake,0,dessert,0,,,
97,Boissons,Jus cocktail de fruits,beverages,fruit cocktail juice,,fruit cocktail juice,0,alcoholic beverages,0,cocktail,0,alcoholic beverages,0,,,
98,Boissons,Jus d'orange préssé,beverages,squeezed orange juice,,orange juice,1,non-alcoholic beverages,0,juice,0,cold beverages,1,orange,orange juice,black pepper
99,Boissons,Jus de fruits Bab El Hara,beverages,Jus de fruits Bab El Hara,,jus de fruit,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
100,Brochettes et Chawarma,Kaftadjaje,Skewers and Chawarma,kaftadjaje,,kaftadjaje,0,,,,,,,,,
101,Brochettes et Chawarma,Kaftalahma,Skewers and Chawarma,kaftalahma,,kaftalahma,0,,,,,,,,,
102,Brochettes et Chawarma,Kebdamechoiya,Skewers and Chawarma,kebdamechoiya,,kebdamechoiya,0,,,,,,,,,
103,Entrées,Labaneh,entries,labaneh,,labaneh,0,,,,,,,olives,cayenne,summer savory
104,Plats,Lapin au four,dishes,Rabbit in the oven,,rabbit oven,0,,,,,,,rabbit,barbecue sauce,black pepper
105,Entrées,Messabha,entries,messabha,,messabha,0,,,,,,,,,
106,Desserts,Mousse au chocolat,desserts,chocolate mousse,,chocolate mousse,0,dessert,0,dessert,0,dessert,0,,,
107,Entrées,Moutabal,entries,moutabal,,moutabal,0,,,,,starter,1,,,
108,Brochettes et Chawarma,Plat Bab El Hara,Skewers and Chawarma,Plat Bab El Hara,,plat bab el hara,0,,,,,,,carrot,navy beans,paprika
109,Brochettes et Chawarma,Plat chawarma,Skewers and Chawarma,dish shawarma,,dish shawarma,0,american,0,other american dish,1,,,black pepper,cayenne,onions
110,Desserts,Salade de fruits,desserts,fruit salad,,fruit salad,0,american,0,salad,1,salad,1,fruit,blueberry,peach
111,Brochettes et Chawarma,Sandwich chawarma,Skewers and Chawarma,Shawarma sandwich,,shawarma,1,american,0,american dish,0,fast food,1,black pepper,cayenne,onions
112,Plats,Steak en sauce,dishes,steak sauce,,sauce,1,american,0,steak dish,0,,,steak,steak sauce,golden syrup
113,Entrées,Tabbouleh,entries,tabbouleh,,tabbouleh,0,,,,,,,bean sprouts,wheat,carrot
114,Entrées,Taroiaa,entries,taroiaa,,taroiaa,0,,,,,,,,,
115,Boissons,Thé infusion,beverages,Infusion Tea,,tea infusion,1,non-alcoholic beverages,0,tea,0,hot beverages,1,,,
116,Boissons,Thé maison,beverages,Tea house,,house tea,1,non-alcoholic beverages,0,tea,0,hot beverages,1,,,
117,Tapas,Anchois de Cantabrie,Tapas,anchovies from Cantabria,,anchovies,1,philippine,0,main course,0,main course,1,anchovy fillets,cream cheese,chili pepper
118,Viandes,Boulettes de viande,meat,meatballs,,meatballs,0,philippine,0,other philippine dish,1,,,meat,meatballs,cornstarch
119,Tapas,Brochettes de crevettes,Tapas,shrimp skewers,,skewers shrimp,0,philippine,0,main course,0,main course,1,shrimp,black pepper,
120,Desserts,Café,desserts,Coffee,,coffee,1,non-alcoholic beverages,0,coffee,0,hot beverages,1,,,
121,Tapas,Calamars à l'andalouse,Tapas,squid Andalusian,,squid andalusian,0,philippine,0,main course,0,main course,1,squid,rosemary,tomato
122,Amuse gueules Tapas Barcelona,Calamars grillés,Finger food Tapas Barcelona,grilled squid,,grilled squid,0,philippine,0,seafood dish,0,starter,1,squid,cilantro,
123,Tapas,Caparccio d'avocats et coulis de tomate,Tapas,caparccio lawyers and tomato coulis,,tomato coulis,0,philippine,0,main course,0,main course,1,tomato,basil,
124,Desserts,Crème catalane,desserts,Catalan cream,,catalan cream,0,dessert,0,dessert,0,dessert,0,,,
125,Tapas,Crevettes à l'ail,Tapas,Garlic Shrimp,,garlic shrimp,0,philippine,0,main course,0,main course,1,shrimp,garlic,lemon juice
126,Tapas,Croquettes,Tapas,croquettes,,croquettes,0,philippine,0,main course,0,main course,1,bread crumbs,celery,cream of chicken soup
127,Desserts,Délice au chocolat,desserts,Chocolate Delight,,chocolate delight,0,dessert,0,dessert,0,dessert,0,,,
128,Viandes,Entrecôte avec pommes de terre,meat,steak with potatoes,,potatoes,1,american,0,steak dish,0,,,meat,steak,parsley
129,Viandes,Filet grillé avec pommes de terre frites,meat,grilled fillet with fried potatoes, fried potatoes,grilled fillet,0,philippine,0,grilled dish,0,,,meat,coriander seed,dijon mustard
130,Desserts,Flan caramel,desserts,caramel flan,,caramel flan,0,dessert,0,flan,0,dessert,0,,,
131,Desserts,Gâteaux au chocolat,desserts,chocolate cakes,,chocolate cake,0,dessert,0,cake,0,dessert,0,,,
132,Viandes,Mini hamburger Barcelona,meat,mini burger barcelona,,mini burger,0,american,0,american dish,1,fast food,1,meat,poppy seed,eggplant
133,Tapas,Oeufs frits aux pommes de terre frites,Tapas,fried eggs with fried potatoes, fried potatoes,fried eggs,0,philippine,0,main course,0,main course,1,egg,basil,black pepper
134,Tapas,Omelette au thon,Tapas,omelette with tuna,,omelette tuna,0,american,1,american dish,1,fast food,1,tuna,black pepper,
135,Tapas,Omelette espagnole,Tapas,Spanish omelette,,spanish omelette,0,american,1,american dish,1,fast food,1,onions,potato,
136,Paellas,Paella de fruits de mer,paellas,Paella Seafood,,paella seafood,0,philippine,0,rice dish,0,,,seafood,onions,peas
137,Paellas,Paella de lapin,paellas,rabbit paella,,paella,1,philippine,0,rice dish,0,,,rabbit,capers,rosemary
138,Paellas,Paella de poulet,paellas,chicken paella,,chicken,1,philippine,0,rice dish,0,,,chicken,bacon grease,potato
139,Paellas,Paella mixte,paellas,Mixed Paella,,paella,1,philippine,0,rice dish,0,,,capers,rosemary,mussel
140,Desserts,Petit Antoine,desserts,small antoine, small,antoine,0,dessert,0,dessert,0,dessert,0,,,
141,Viandes,Petits cubes de bœuf au poivre,meat,Small cubes of beef with pepper, small pepper,cubed beef,0,philippine,0,beef dish,0,,,meat,beef,black pepper
142,Tapas,Pommes de terre sauvage à l'ancienne patatas bravas,Tapas,Wild potatoes old patatas bravas,,patatas bravas,1,philippine,0,main course,0,main course,1,egg yolks,potato,black pepper
143,Desserts,Pouding cacao,desserts,Cocoa Pudding,,pudding,1,dessert,0,pudding,0,dessert,0,,,
144,Tapas,Poulet à l'ail et pommes de terre,Tapas,Garlic chicken and potatoes,,potatoes and chicken,1,philippine,0,main course,0,main course,1,chicken,potato,cheddar cheese
145,Tapas,Poulet avec pommes de terre,Tapas,Chicken with potatoes,,potatoes chicken,0,philippine,0,main course,0,main course,1,chicken,black pepper,parmesan cheese
146,Tapas,Poulpe à la braise au piment paprika,Tapas,Octopus grilled paprika pepper,,grilled octopus,1,philippine,0,main course,0,main course,1,octopus,paprika,black pepper
147,Amuse gueules Tapas Barcelona,Poulpe à la galicienne,Finger food Tapas Barcelona,Octopus Galician,,galician octopus,1,philippine,0,other philippine dish,1,starter,1,octopus,peppers,parsley
148,Amuse gueules Tapas Barcelona,Poulpe au four,Finger food Tapas Barcelona,baked octopus,,baked octopus,0,philippine,0,baked dish,0,starter,1,octopus,peppers,parsley
149,Pâtes et risotto,Ragout de boulettes avec sépia,Pasta and risotto,meatballs stewed with sepia, sepia,meatballs,1,italian,0,rice dish,0,,,meatballs,cornstarch,honey
150,Pâtes et risotto,Ragout de pois chiche à la catalane,Pasta and risotto,chick pea stew Catalan,,pea stew,0,italian,0,rice dish,0,,,bay leaf,beef bouillon granules,black pepper
151,Pâtes et risotto,Risotto de fromage,Pasta and risotto,cheese risotto,,cheese risotto,0,italian,0,rice dish,0,main course,1,cheese,goat cheese,
152,Desserts,Salade de fruits,desserts,fruit salad,,fruit salad,0,philippine,0,salad,1,salad,1,fruit,blueberry,peach
153,Tapas,Salade de saumon à l'avocat,Tapas,Salmon salad with avocado, avocado,salad salmon,0,philippine,0,salad,1,salad,1,salmon,avocado,dijon mustard
154,Tapas,Salade de thon,Tapas,tuna salad,,salad tuna,0,philippine,0,salad,1,salad,1,tuna,tomato soup,cream cheese
155,Tapas,Salade russe,Tapas,Russian salad,,salad russian,0,philippine,0,salad,1,salad,1,sauerkraut,potato,dill pickle
156,Tapas,Sardines frites,Tapas,fried sardines,,fried sardines,0,philippine,0,main course,0,main course,1,sardine,,
157,Tapas,Sépia à l'andalouse,Tapas,sepia with Andalusian,,sepia andalusian,0,philippine,0,main course,0,main course,1,cream cheese,cloves,pasta
158,Amuse gueules Tapas Barcelona,Sépia à la marinière,Finger food Tapas Barcelona,sepia marinara,,sepia marinara,0,italian,0,pizza,0,,,onions,pizza crust,mozzarella cheese
159,Amuse gueules Tapas Barcelona,Sépia grillé,Finger food Tapas Barcelona,grilled sepia,,grilled sepia,0,philippine,0,grilled dish,0,starter,1,black pepper,corn,lime juice
160,Desserts,Tarte au citron,desserts,Lemon Tart,,tart lemon,0,dessert,0,tart,0,dessert,0,,,
161,Desserts,Tarte aux fraises,desserts,strawberry pie,,strawberry pie,0,dessert,0,pie,0,dessert,0,,,
162,Desserts,Thé maison,desserts,Tea house,,house tea,1,non-alcoholic beverages,0,tea,0,hot beverages,1,,,
163,Desserts,Tiramissu,desserts,tiramissu,,tiramisu,0,dessert,0,tiramisu,0,dessert,0,,,
164,Nos péchés mignons,Assortiments de viennoiseries,our guilty pleasures,assortment of pastries,,assorted pastries,0,dessert,0,pastry,0,dessert,0,,,
165,Nos délicieuses pizzas,Blanche neige,our delicious pizzas,snow white,,snow white,0,italian,0,pizza,0,,,pumpkin puree,cinnamon,cloves
166,Menu du chef,Brie aigre doux à la figue,chef's menu,sweet and sour brie with fig, fig,sweet and sour,1,american,0,other american dish,1,,,fig,chicken broth,chili sauce
167,Nos delicieux sandwichs,Burger XXL BB King,our delicious sandwiches,Burger XXL BB King,,king xxl burger,1,american,0,american dish,0,fast food,1,red pepper,ketchup,lemon juice
168,Boissons chaudes et froides,Café,hot and cold drinks,Coffee,,coffee,1,non-alcoholic beverages,0,coffee,0,hot beverages,1,,,
169,Boissons chaudes et froides,Café au lait,hot and cold drinks,coffee with milk,,coffee,1,non-alcoholic beverages,0,coffee,0,hot beverages,1,,,
170,Nos delicieux sandwichs,Club Taj Mahal,our delicious sandwiches,club taj mahal,,taj mahal sandwich,0,american,0,american dish,0,,,cucumber,egg yolks,crab meat
171,Boissons chaudes et froides,Coca 33cl,hot and cold drinks,Coca 33cl, 3 3 cl,cocacola,1,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
172,Boissons chaudes et froides,Cocktail maison,hot and cold drinks,house cocktail,,house cocktail,0,alcoholic beverages,0,cocktail,0,alcoholic beverages,0,,,
173,Nos péchés mignons,Dessert du jour de notre chef,our guilty pleasures,dessert of the day our chef,,dessert,1,american,0,other american dish,1,,,pineapple,peanuts,banana
174,Boissons chaudes et froides,Eau gazeuz pb,hot and cold drinks,Water gazeuz bp,,water gazeuz bp,0,american,0,other american dish,1,,,water chestnuts,,
175,Nos delicieux sandwichs,En plus,our delicious sandwiches,additional,,additional sandwich,0,american,0,american dish,0,fast food,1,american cheese,pepperoni,
176,Nos péchés mignons,Gateaux / tartes du jour de notre chef,our guilty pleasures,cakes / pies the day our chef, cakes,pie,1,dessert,0,pie,0,dessert,0,,,
177,Boissons chaudes et froides,GB d'eau,hot and cold drinks,gb water,,gb water,0,american,0,other american dish,1,,,water chestnuts,,
178,Nos delicieux sandwichs,Hot dog,our delicious sandwiches,hot dog,,hot dog,0,american,0,american dish,0,,,black pepper,cayenne,onions
179,Nos délicieuses pizzas,L'amoureuse,our delicious pizzas,The love,,pizza love,0,italian,0,pizza,0,main course,1,cayenne,basil,mozzarella cheese
180,Nos délicieuses pizzas,L'élégante,our delicious pizzas,the elegant,,elegant pizza,0,italian,0,pizza,0,main course,1,olives,cheddar cheese,french bread
181,Nos délicieuses pizzas,La BB king ,our delicious pizzas,BB King,,pizza king,1,italian,0,pizza,0,,,yeast,semolina,pizza crust
182,Nos délicieuses pizzas,La séduisante,our delicious pizzas,The seductive,,seductive pizza,0,italian,0,pizza,0,main course,1,cayenne,honey,italian cheese blend
183,Nos délicieuses pizzas,La star ,our delicious pizzas,The star,,star pizza,0,italian,0,pizza,0,main course,1,cornstarch,lemon juice,orange juice
184,Boissons chaudes et froides,PB d'eau,hot and cold drinks,bp water,,bp water,0,american,0,other american dish,1,,,water chestnuts,,
185,Boissons chaudes et froides,Rani jus,hot and cold drinks,rani juice,,rani juice,0,non-alcoholic beverages,0,juice,0,cold beverages,1,apple,carrot,granny smith apple
186,Nos salades fraîcheur,Salade d'ici et d'ailleurs,our fresh salads,salad and elsewhere,,salad,1,american,0,salad,1,salad,1,black pepper,salad greens,
187,Nos salades fraîcheur,Salade la diva,our fresh salads,Salad diva,,salad,1,american,0,salad,1,salad,1,black pepper,salad greens,
188,Nos salades fraîcheur,Salade queen,our fresh salads,queen salad,,salad,1,american,0,salad,1,salad,1,black pepper,salad greens,
189,Nos salades fraîcheur,Salade tonus,our fresh salads,Tone salad,,salad,1,american,0,salad,1,salad,1,black pepper,salad greens,
190,Nos delicieux sandwichs,Sandwich bistro,our delicious sandwiches,Bistro Sandwich,,bistro sandwich,0,american,0,american dish,0,fast food,1,garlic powder,hamburger bun,italian dressing
191,Nos delicieux sandwichs,Sandwich le gourmet,our delicious sandwiches,Gourmet sandwich,,gourmet sandwich,0,american,0,american dish,0,fast food,1,jam,peanut butter,
192,Nos delicieux sandwichs,Sandwich le parfait,our delicious sandwiches,the perfect sandwich,,perfect sandwich,0,american,0,american dish,0,fast food,1,avocado,mayonaise,tomato
193,Nos delicieux sandwichs,Sandwich mystérieux,our delicious sandwiches,Mysterious Sandwich,,mysterious sandwich,0,american,0,american dish,0,fast food,1,spinach,brie cheese,cinnamon
194,Nos delicieux sandwichs,Sandwich new york city,our delicious sandwiches,Sandwich new york city,,new york city,1,american,0,american dish,0,fast food,1,espresso,okra,marsala wine
195,Menu du chef,Soupe du jour,chef's menu,soup of the day,,soup,0,vietnamese,0,soup,0,soup,1,pumpkin puree,carrot,onions
196,Boissons chaudes et froides,Thé infusion,hot and cold drinks,Infusion Tea,,tea infusion,1,non-alcoholic beverages,0,tea,0,hot beverages,1,,,
197,Boissons chaudes et froides,Thé lavazza,hot and cold drinks,thÃ© lavazza,,thÃ© lavazza,0,american,0,other american dish,1,,,,,
